Abbreviated Name,Full Name
EQUITABLEACC,
BBT,
JHNSN CY FCU,
SECURITY FIN,
CROWN DIA,
FST PREMIER,
VERIZON,
DVRA BILLING,
WEBBNKFSTR,
SANTANDER,
DPT EDNAVI,
SYNCBCHEVRO,
KIA US,
CHASE,
USAA SVG BK,
DISCOVERBANK,
NAVY FCU,
WEBBNKFHUT,
ARRONRNTS,
CCBDVDSBR,
HC ROYA,
PEARLHRB FCU,
CNAC  FL118,
CHILDSUPPORT,
SYNCBJCP,
FLORIDASTACU,
HSBCTAX,
USA FUNDS,
FEDLOAN,
NAVIENT,
NELNET,
AESBARCLAY,
GM FINANCIAL,
XLSSLX,
WF EFS,
SALLIE MAE,
AZPUBSERVCO,
MEDICAL,
FIRSTEDCOMCU,
US DEP ED,
LOAN STAR SL,
TIDE FINANCE,
CAP1FRNRW,
CAPITAL ONE,
JB ROBINSON,
SYNCBABCWH,
BRCLYSBANKDE,
BBYCBNA,
TARGETTD,
SYNCBWLMRTD,
SEARSCBNA,
SYNCBWALMAR,
THDCBNA,
US BK HM MTG,
SYNCBAMAZON,
SYNCBNAPAEP,
MSU FED CU,
GMFINANCIAL,
DFCU FINANCL,
SYNCBDSCTIR,
SYNCBCARECR,
SYNCBARTVAN,
CBMEIJER,
CBYOUN,
CBLNBRYNT,
SAGELNKCU,
ALLY FINCL,
CAP1BSTBY,
CBFSHBUG,
CRDT FIRST,
TARGET NB,
KAY JEWELERS,
USDOEGLELSI,
SYNCBWHITEH,
GRDNCBNA,
CBTORRID,
AM HONDA FIN,
BK OF AMER,
DEPTEDNELNET,
CREDITACPT,
WELLS FARGO,
UNIV IL EFCU,
SYNCBOLDNAV,
SYNCBNAUTLS,
SYNCBLOW,
SYNCBMEGAGR,
SYNCBGAPDC,
NISSAN MOTOR,
ASCEND FCU,
SYNCBELECEX,
TOYOTA MTR,
SYNCBBELK,
CBPEEBLES,
PRFRD CUS AC,
KOHLSCHASE,
CBBUCKLE,
CHASE MORT,
COMPASS BK,
BENFCLHFC,
WFFINANCIAL,
CBAF,
CBMAURCS,
SPRINGLF FIN,
TINKER FCU,
AVANT,
ENTERGY MS,
ACEPTANCENOW,
MSDHSMETSS,
SYNCBONDC,
FRNKAMRMTGCO,
POTLATCH 1,
CBVICSCRT,
CCBBLUENL,
CHASE AUTO,
LOANCARE INC,
CCBGAMESTOP,
FRD MOTOR CR,
DISCOVER FIN,
STRLNG SV BK,
DITECH,
CAP ONE AUTO,
